x,y,z,u,v,zeta
0.15831134564643798,-0.037500000000000006,0.0,0,0,0.0
0.16886543535620052,-0.037500000000000006,0.0,0,0,0.0
0.17941952506596306,-0.037500000000000006,0.0,0,0,0.0
0.18997361477572558,-0.037500000000000006,0.0,0,0,0.0
0.20052770448548812,-0.037500000000000006,0.0,0,0,0.0
0.21108179419525064,-0.037500000000000006,0.0,0,0,0.0
0.22163588390501318,-0.037500000000000006,0.0,0,0,0.0
0.23218997361477572,-0.037500000000000006,0.0,0,0,0.0
0.24274406332453824,-0.037500000000000006,0.0,0,0,0.0
0.2532981530343008,-0.037500000000000006,0.0,0,0,0.0
0.2638522427440633,-0.037500000000000006,0.0,0,0,0.0
0.27440633245382584,-0.037500000000000006,0.0,0,0,0.0
0.28496042216358836,-0.037500000000000006,0.0,0,0,0.0
