"Points:0","Points:1","Points:2","arc_length","raw_data_1","raw_data_2","u","v","zeta"
0.970976,0.717678100264,0,0.105540897098,3.999988,4.250006,-0.166333198419,-0.37689538648,1.94927656846e-08
0.970976,0.717677846966,0,0.105541150396,3.999976,4.249994,-0.166331865588,-0.376895512672,8.93802552969e-08
0.970976,0.707124010554,0,0.116094986807,3.249994,4.249994,-0.0965147529934,-0.317558658541,8.93802552969e-08
0.970976,0.707123757256,0,0.116095240106,3.249994,4.249994,-0.0965144410078,-0.317561438395,8.65714932345e-08
0.970976,0.696569920844,0,0.126649076517,3.249994,4.249994,-0.0654070197037,-0.328521470167,8.65714932345e-08
0.970976,0.696569667546,0,0.126649329815,3.249994,4.249994,-0.0654080717282,-0.32852435728,1.15662970212e-07
0.970976,0.686015831135,0,0.137203166227,3,4,-0.0570251747509,-0.406805910554,1.15662970212e-07
0.970976,0.686015577836,0,0.137203419525,3,4,-0.057023885156,-0.406803798262,1.12115771433e-07
0.970976,0.675461741425,0,0.147757255937,3.749982,4.249994,0.0130041371023,-0.414530526811,1.12115771433e-07
0.970976,0.675461488127,0,0.147757509235,3.749982,4.249988,0.0130054653796,-0.414530381666,2.61312421151e-08
0.970976,0.664907651715,0,0.158311345646,3.249994,3.999994,0.0310601920379,-0.612957993874,2.61312421151e-08
0.970976,0.664907398417,0,0.158311598945,3.250012,4.000006,0.0310598732984,-0.612957056751,-3.81681470383e-08
0.970976,0.654353562005,0,0.168865435356,3.75,4.749988,0.0335656836442,-0.527476762855,-3.81681470383e-08
0.970976,0.654353308707,0,0.168865688654,3.749988,4.749982,0.0335644895914,-0.52747681513,-7.13535144567e-08
0.970976,0.643799472296,0,0.179419525066,3.25,3.750006,0.0057376793895,-0.539382131851,-7.13535144567e-08
0.970976,0.643799218997,0,0.179419778364,3.25,3.750012,0.00573659388568,-0.539381587881,-6.58200369198e-08
0.970976,0.633245382586,0,0.189973614776,3.749988,4.749988,-0.04207019854,-0.618445923275,-6.58200369198e-08
0.970976,0.633245129288,0,0.189973868074,3.749994,4.749994,-0.0420708109359,-0.618446330719,-4.89774531067e-08
0.970976,0.622691292876,0,0.200527704485,3.749994,4.250006,-0.0772665143401,-0.511926614737,-4.89774531067e-08
0.970976,0.622691039578,0,0.200527957784,3.749994,4.25,-0.0772672612859,-0.511926484242,-2.08455876771e-08
0.970976,0.612137203166,0,0.211081794195,4.249982,4.000006,-0.13148899342,-0.515960636158,-2.08455876771e-08
0.970976,0.612136949868,0,0.211082047493,4.24997,3.999988,-0.131488759745,-0.515960401259,1.26076022579e-08
0.970976,0.601583113456,0,0.221635883905,3.499988,3.999988,-0.108109973448,-0.446366277001,1.26076022579e-08
0.970976,0.601582860158,0,0.221636137203,3.500006,4.000006,-0.108109600244,-0.44636547669,-2.29010329176e-08
0.970976,0.591029023747,0,0.232189973615,3.75,4.000006,-0.0795934340704,-0.437863230087,-2.29010329176e-08
0.970976,0.591028770449,0,0.232190226913,3.749988,3.999988,-0.0795942640394,-0.437861613968,-4.25374363154e-08
0.970976,0.580474934037,0,0.242744063325,3.749988,3.999988,-0.0993948481135,-0.373027955793,-4.25374363154e-08
0.970976,0.580474680739,0,0.242744316623,3.749982,3.999982,-0.0993956700964,-0.37302969093,-2.36222046796e-08
0.970976,0.569920844327,0,0.253298153034,3.249994,4.249976,-0.102206537219,-0.399928122582,-2.36222046796e-08
0.970976,0.569920591029,0,0.253298406332,3.25003,4.25,-0.102207625491,-0.399930691304,-1.65743956283e-08
0.970976,0.559366754617,0,0.263852242744,3.500024,4.000006,-0.142155074208,-0.501973856901,-1.65743956283e-08
0.970976,0.559366501319,0,0.263852496042,3.5,4,-0.142156509919,-0.501975676725,7.71609236916e-09
0.970976,0.548812664908,0,0.274406332454,3.000012,3.750006,-0.192881132471,-0.496391652319,7.71609236916e-09
0.970976,0.548812411609,0,0.274406585752,3,3.750006,-0.192881870056,-0.496392499086,2.05293887636e-08
0.970976,0.538258575198,0,0.284960422164,3.249994,3.250018,-0.229972511264,-0.6404036366,2.05293887636e-08
0.970976,0.5382583219,0,0.284960675462,3.25,3.250018,-0.229971944986,-0.640403548975,-6.77921530986e-08
0.970976,0.527704485488,0,0.295514511873,3.25,3.500012,-0.28393806842,-0.651498447788,-6.77921530986e-08
0.970976,0.52770423219,0,0.295514765172,3.25,3.500012,-0.283942780964,-0.651498762306,-1.68178980193e-07
0.970976,0.517150395778,0,0.306068601583,3.25,4,-0.454661415183,-0.708612375785,-1.68178980193e-07
0.970976,0.51715014248,0,0.306068854881,3.250012,4.000006,-0.45466447154,-0.708612366402,-2.29579122307e-07
0.970976,0.506596306069,0,0.316622691293,3.75,4.000006,-0.686420551207,-0.664197834313,-2.29579122307e-07
0.970976,0.50659605277,0,0.316622944591,3.749982,3.999994,-0.68642716238,-0.664205008582,-2.34172392058e-07
0.970976,0.496042216359,0,0.327176781003,3,3.75,-0.971869069027,-0.88128518001,-2.34172392058e-07
0.970976,0.496041963061,0,0.327177034301,3,3.749988,-0.971873779173,-0.881286571714,-2.39510164882e-07
0.970976,0.485488126649,0,0.337730870712,3,3.749988,-1.16859251329,-0.984245695377,-2.39510164882e-07
0.970976,0.485487873351,0,0.337731124011,3.000006,3.75,-1.16859951151,-0.984248629006,-1.7342214511e-07
0.970976,0.474934036939,0,0.348284960422,3.25,3.250012,-1.44607346161,-1.14258618139,-1.7342214511e-07
0.970976,0.474933783641,0,0.34828521372,3.250006,3.250012,-1.44607402229,-1.14259169082,2.42826777363e-08
0.970976,0.46437994723,0,0.358839050132,3.000012,3.75,-1.39040887936,-1.42136043658,2.42826777363e-08
0.970976,0.464379693931,0,0.35883930343,3,3.749982,-1.39040726397,-1.42136475195,1.56227483257e-07
0.970976,0.45382585752,0,0.369393139842,3,3.249994,-1.18919470381,-1.56219922473,1.56227483257e-07
0.970976,0.453825604222,0,0.36939339314,3.000006,3.250024,-1.18919165801,-1.56220064651,2.35199571154e-07
0.970976,0.44327176781,0,0.379947229551,3.25,3.00003,-1.06672472829,-1.55925944624,2.35199571154e-07
